2, 1
4, 3
5, 4
6, 6
9, 9
11, 14
15, 16
16, 19
17, 19
20, 20
21, 21
23, 21
28, 24
32, 25
3, 4
5, 7
9, 9
11, 13
14, 15
15, 18
18, 23
22, 25
25, 26
28, 26
33, 26
39, 29
43, 30
46, 32
5, 1
16, 1
22, 2
25, 6
28, 9
33, 9
39, 10
49, 12
54, 13
55, 15
60, 15
62, 16
64, 17
65, 18
4, 2
7, 5
14, 9
19, 12
22, 14
27, 17
33, 19
38, 22
42, 23
46, 24
50, 25
52, 25
57, 27
65, 27
6, 3
14, 6
18, 8
18, 10
27, 12
30, 12
32, 13
39, 13
43, 14
46, 16
49, 18
49, 18
55, 18
59, 20
5, 1
13, 1
20, 2
27, 3
39, 3
41, 4
43, 6
45, 6
47, 7
50, 9
51, 9
53, 11
55, 12
59, 13
4, 3
10, 4
16, 6
21, 9
23, 9
25, 9
30, 9
34, 13
36, 13
40, 15
49, 16
58, 17
58, 19
73, 22
2, 1
3, 2
11, 4
15, 4
19, 5
20, 6
25, 7
26, 9
29, 11
32, 12
36, 13
39, 14
45, 14
48, 15
4, 2
6, 2
11, 2
11, 3
14, 4
16, 7
22, 7
29, 10
39, 10
46, 11
49, 13
62, 13
68, 13
76, 14
1, 2
3, 2
11, 5
12, 5
19, 6
24, 6
25, 9
32, 10
41, 13
45, 14
52, 14
55, 16
62, 18
69, 19
2, 0
7, 0
10, 1
10, 2
15, 3
22, 4
31, 7
35, 7
42, 10
49, 10
57, 11
61, 12
67, 12
76, 16
4, 3
9, 4
14, 5
16, 5
18, 7
22, 7
26, 7
33, 9
39, 9
44, 13
50, 14
54, 18
61, 18
66, 19
4, 0
6, 1
13, 1
24, 2
35, 6
41, 8
46, 10
54, 13
60, 14
68, 15
71, 18
73, 19
79, 20
82, 20
8, 3
12, 4
17, 6
21, 7
24, 8
28, 10
33, 11
38, 11
49, 12
57, 14
61, 16
65, 16
69, 18
72, 19
6, 1
13, 3
14, 4
17, 7
22, 8
28, 8
36, 10
41, 10
45, 10
52, 13
58, 14
69, 15
73, 19
79, 20
5, 0
11, 5
13, 5
19, 5
26, 5
39, 6
45, 8
50, 9
53, 11
60, 12
64, 15
71, 15
75, 15
77, 16
6, 0
8, 1
9, 1
10, 2
21, 5
27, 6
30, 7
34, 8
35, 8
37, 11
39, 12
44, 13
46, 14
49, 14
5, 0
9, 0
15, 3
20, 4
24, 4
29, 6
34, 8
42, 9
46, 12
47, 12
51, 12
53, 15
56, 16
60, 16
0, 1
3, 4
10, 7
13, 10
17, 13
17, 13
26, 15
33, 16
43, 18
50, 20
60, 22
64, 23
65, 25
68, 26
7, 1
16, 2
19, 5
22, 5
27, 5
30, 6
32, 7
36, 8
46, 9
51, 9
52, 10
55, 11
59, 14
61, 14
4, 3
10, 3
21, 6
23, 7
25, 9
28, 9
30, 13
37, 13
40, 17
41, 18
42, 21
45, 23
49, 23
58, 25
4, 2
11, 4
16, 8
23, 10
29, 11
35, 14
41, 17
45, 20
51, 23
57, 26
66, 27
68, 27
73, 28
77, 30
4, 2
12, 3
14, 7
16, 7
20, 7
22, 10
29, 12
30, 13
31, 13
39, 15
39, 17
44, 19
47, 20
52, 20
9, 1
11, 3
17, 4
23, 6
26, 6
26, 6
28, 9
33, 12
38, 13
40, 14
44, 16
49, 17
52, 19
53, 22
3, 2
7, 4
12, 7
14, 7
21, 8
24, 11
26, 14
31, 15
36, 16
42, 16
48, 19
54, 21
55, 21
61, 21
6, 1
13, 3
17, 4
20, 4
23, 6
28, 6
32, 7
34, 9
37, 9
41, 10
49, 11
56, 11
62, 13
73, 13
3, 1
8, 1
17, 3
17, 3
21, 4
22, 6
26, 7
36, 10
44, 10
50, 10
53, 11
54, 12
59, 12
61, 12
2, 3
9, 4
13, 4
20, 6
23, 8
25, 12
34, 13
38, 16
43, 17
47, 17
50, 19
56, 19
62, 24
66, 25
4, 3
10, 4
17, 4
18, 8
23, 10
30, 14
34, 16
44, 18
49, 20
53, 20
58, 20
65, 22
71, 24
77, 26
7, 2
8, 5
9, 5
13, 7
15, 8
20, 9
24, 9
33, 11
35, 13
35, 17
38, 19
41, 20
44, 20
47, 22
2, 0
5, 0
9, 3
12, 4
15, 6
20, 7
22, 8
23, 10
24, 13
27, 14
29, 15
34, 17
39, 19
42, 22
3, 2
4, 7
8, 10
13, 12
16, 12
21, 14
22, 16
27, 19
29, 21
34, 22
36, 27
43, 27
45, 28
47, 29
2, 0
