1, 1
2, 1
3, 3
5, 5
6, 6
6, 8
6, 8
11, 10
13, 13
13, 13
16, 13
19, 14
22, 14
22, 17
3, 0
5, 3
5, 4
6, 4
7, 8
7, 9
11, 9
13, 11
13, 13
14, 14
17, 15
20, 19
22, 20
24, 21
0, 3
0, 3
0, 5
5, 5
11, 6
13, 6
15, 7
16, 8
19, 9
23, 10
25, 12
27, 15
28, 18
31, 19
5, 1
9, 1
10, 1
12, 2
16, 3
18, 3
22, 4
26, 5
29, 5
30, 6
33, 7
34, 10
35, 12
39, 13
4, 1
7, 2
11, 3
12, 3
15, 3
20, 4
24, 8
28, 11
30, 11
34, 14
34, 15
35, 16
41, 16
44, 17
1, 0
2, 0
3, 0
5, 5
7, 7
14, 12
16, 13
19, 14
24, 16
27, 16
29, 17
30, 18
34, 18
39, 20
2, 2
2, 3
2, 4
6, 8
8, 9
19, 11
24, 13
24, 15
26, 17
27, 18
27, 21
29, 21
30, 22
35, 22
4, 2
5, 3
6, 3
8, 3
9, 7
14, 9
18, 12
25, 14
27, 14
29, 16
34, 18
37, 19
39, 26
41, 28
1, 1
4, 2
7, 3
10, 4
12, 9
13, 12
13, 13
15, 14
16, 16
20, 18
23, 20
